June 28, 2018;3.3M;1,000+;1.0;4.0 and up;Bangla Public Library;
March 14, 2018;3.8M;50,000+;1.3;4.0.3 and up;StormBD Studio;
September 10, 2018;6.6M;1,000+;1.0;4.2 and up;RT-SoftWorld;
June 28, 2018;3.4M;5,000+;1.0;4.0 and up;Bangla Public Library;
September 29, 2018;9.8M;5,000+;3.0;4.0.3 and up;MJMT Apps;
October 8, 2018;4.4M;10,000+;2.1.3;4.0 and up;Jakaria Ahmed Chowdhury;
March 13, 2017;2.7M;5,000+;1.2;4.2 and up;kobecodder;
August 12, 2018;8.4M;500+;1.0;4.0 and up;Kumar Mongalom Shuvo;
October 13, 2018;9.4M;10,000+;1.7.4;4.1 and up;RT-SoftWorld;
September 21, 2018;6.9M;1,000+;1.2;4.0.3 and up;Royal Bengal Apps;
July 25, 2017;2.7M;100,000+;1.2;4.0 and up;Apps Point;
October 12, 2018;4.4M;100+;1.3;4.0 and up;Brighter Apps;
January 19, 2017;3.3M;10,000+;1.0.3;4.1 and up;Bangla Apps Free;
June 28, 2018;3.3M;1,000+;1.0;4.0 and up;Bangla Public Library;
October 1, 2018;4.3M;10,000+;2.0;4.0.3 and up;Ayaat Studio;
January 4, 2018;4.4M;10,000+;1.0;4.0.3 and up;Pen & Ink;
March 16, 2018;3.2M;10,000+;2.0;4.0 and up;BdmobilesApps;
June 28, 2018;3.6M;5,000+;1.0;4.0 and up;Bangla Public Library;
September 6, 2018;3.8M;5,000+;1.0;4.1 and up;MACKO Fun Games.;
January 17, 2018;2.8M;10,000+;2.0;4.0 and up;Digital Purchases;MR Apps Dev;
November 18, 2018;3.1M;1,000+;1.1;4.0.3 and up;Digital Purchases;MT SOFT;
August 13, 2018;6.7M;1,000+;1.3;4.0.3 and up;CrackTech;
August 12, 2018;7.1M;5,000+;1.4;4.0.3 and up;Green App Studio;
August 25, 2018;12M;1,000+;1.2;3.0 and up;Panchdona ICT Center;
August 26, 2017;5.7M;1,000+;3.7.0;4.0 and up;Ofuran Studio;
February 7, 2017;3.0M;50,000+;1.1;2.3 and up;Apps Point;
July 1, 2018;3.2M;1,000+;1.0;4.0.3 and up;BD71Apps;
June 28, 2018;3.6M;1,000+;1.0;4.0 and up;Bangla Public Library;
